Sentences,Figure_OF_Speech
So Donald Trump walks into a bar... and lowers it.,Pun
I don't mean to be forward girl but do you swallow? Ok Cool. Swallow these 7 balloons of Heroin and get on this flight to Los Angeles,Pun
My gay friend got fired from the sperm bank because they caught him drinking on the job.,Pun
"Teacher: ""Can anyone name three Kings that brought happiness and peace to earth?""",Pun
"Student: ""Drin-king, smo-king, and fuc-king!""",Pun
What's a cocoon? Same as a n-nigger.,Pun
What is the abbreviation of KFC: Killing Fucking Crackers?,Pun
What is a gay person's favorite desert on a hot day? Ass cream cones.,Pun
What does a homo say to another gay going on vacation? Can I help you pack your shit?,Pun
"It's amazing how one letter can change the whole meaning of a word, I once introduced myself as a racist, obviously meaning rapist.",Pun
What do you call a Muslim who owns 6 goats? A pimp.,Pun
"What does one gay say to another homo sitting at the bar? ""Do you mind if I push in your stool?""",Pun
Her home was a prison.,Metaphor
She is the apple of my eye.,Metaphor
He has a heart of gold.,Metaphor
A light in a sea of darkness.,Metaphor
The noise is music to her ears.,Metaphor
He swam in a sea of diamonds.,Metaphor
"Authority is a chair, it needs legs to stand up.",Metaphor
You better pull your socks up.,Metaphor
She is drowning in the sea of love.,Metaphor
Each episode narrated in the book is a slice-of-life snapshot of the protagonist.,Metaphor
"Life is a dream, a fleeting shadow on a cloudy day.",Metaphor
Life tends to come back and bite you.,Metaphor
"He is my East and my West, my compass.",Metaphor
"The streets were a furnace, the sun an executioner.",Metaphor
"Between the lower east side tenements, the sky is a snotty handkerchief.",Metaphor
"A man may break a word with you, sir, and words are but wind.",Metaphor
But my heart is a lonely hunter that hunts on a lonely hill.,Metaphor
Love is an alchemist that can transmute poison into food and a spaniel that prefers even punishment from one hand to caresses from another.,Metaphor
"The greater part of the untested men appeared quiet and absorbed. They were going to look at war, the red animal the blood-swollen god.",Metaphor
"Men's words are bullets, that their enemies take up and make use of against them",Metaphor
The rain came down in long knitting needles.,Metaphor
"Language is a road map of a culture. It tells you where its people come from, and where they are going.",Metaphor
"Glamis thou art, and Cawdor; and shalt be What thou art promised. Yet do I fear thy nature; It is too full o' the milk of human kindness To catch the nearest way.",Metaphor
Memory is a crazy woman that hoards colored rags and throws away food.,Metaphor
Love is the wild card of existence.,Metaphor
Time is a dressmaker specializing in alterations.,Metaphor
My memory is a little cloudy about that incident.,Metaphor
A blanket of snow covered the streets.,Metaphor
Her bubbly personality cheered him up.,Metaphor
You light up my life with your presence.,Metaphor
"According to her, only shades of gray make up life.",Metaphor
A colorful remark was not half bad either.,Metaphor
His deep dark secret was revealed to everyone.,Metaphor
The United States of America is a shining example of democracy.,Metaphor
The stench of failure should not depress you.,Metaphor
She could not digest the news when she heard it.,Metaphor
"The winds were ocean waves, thrashing against the trees limbs. The gales remained thereafter, only ceasing when the sun went down. Their waves clashed brilliantly with the water beneath, bringing foam and dying leaves to the shore.",Metaphor
"The teacher descended upon the exams, sank his talons into their pages, ripped the answers to shreds, and then, perching in his chair, began to digest.",Metaphor
Clinton stepped up to the plate and grabbed the bull by the horn.,Metaphor
If we can hit that bull's-eye then the rest of the dominoes will fall like a house of cards ...Checkmate.,Metaphor
That wet blanket is a loose cannon.,Metaphor
The movie struck a spark that massaged the audience's conscience.,Metaphor
"Mr Speaker, I smell a rat; I see him forming in the air and darkening the sky; but I'll nip him in the bud.",Metaphor
The eye of the mind is dazzled and vanquished,Metaphor
The snow is a white blanket.,Metaphor
He is a shining star.,Metaphor
Her long hair was a flowing golden river.,Metaphor
Tom's eyes were ice as he stared at her.,Metaphor
The children were flowers grown in concrete gardens.,Metaphor
Kisses are the flowers of affection.,Metaphor
The falling snowflakes are dancers.,Metaphor
The calm lake was a mirror.,Metaphor
You are my sunshine.,Metaphor
The moon is a white balloon.,Metaphor
Her tears were a river flowing down her cheeks.,Metaphor
The road ahead was a ribbon stretching across the desert.,Metaphor
Donations to the charity were a tsunami.,Metaphor
The park was a lake after the rain.,Metaphor
The sun is a golden ball.,Metaphor
The clouds are balls of cotton.,Metaphor
The lightning was fireworks in the sky.,Metaphor
That lawn is a green carpet.,Metaphor
The stars are sparkling diamonds.,Metaphor
"Ben's temper was a volcano, ready to explode.",Metaphor
Those best friends are two peas in a pod.,Metaphor
John's suggestion was just a Band-Aid for the problem.,Metaphor
The cast on his broken leg was a plaster shackle.,Metaphor
Laughter is the music of the soul.,Metaphor
America is a melting pot.,Metaphor
Her lovely voice was music to his ears.,Metaphor
The world is a stage.,Metaphor
My kid's room is a disaster area.,Metaphor
Life is a rollercoaster.,Metaphor
Their home was a prison.,Metaphor
His heart is a cold iron.,Metaphor
"At five o'clock, the interstate is always a parking lot.",Metaphor
Books are the keys to your imagination.,Metaphor
Her angry words were bullets to him.,Metaphor
Your brain is a computer.,Metaphor
The car was a furnace in the sun.,Metaphor
"Thank you so much, you are an angel.",Metaphor
My baseball coach is an ogre.,Metaphor
He is a walking dictionary.,Metaphor
My big brother is a couch potato.,Metaphor
The teenager's stomach was a bottomless pit.,Metaphor
I am so excited. My pulse is a race car.,Metaphor
Toddlers are rug rats.,Metaphor
His life took an unexpected direction.,Metaphor
I have to bear the responsibility for this.,Metaphor
The responsibility was weighing on my mind.,Metaphor
I don’t want to be a burden to you.,Metaphor
She has split up with her boyfriend.,Metaphor
They greeted us warmly.,Metaphor
It was a very stormy relationship.,Metaphor
The news has hit him hard.,Metaphor
It had a huge impact on them.,Metaphor
He has a fiery temper.,Metaphor
The book was received warmly.,Metaphor
I felt a chill of fear.,Metaphor
She treated us with cool indifference.,Metaphor
The future looks very bright.,Metaphor
The news lifted her spirits.,Metaphor
There’s no point in having these dark thoughts.,Metaphor
They were eaten up with hatred.,Metaphor
Mistrust had poisoned their relationship.,Metaphor
A few doubts remained at the back of my mind.,Metaphor
The thought crossed her mind that he was lying.,Metaphor
I don’t want to put any ideas into your head.,Metaphor
I had already planted the idea in her mind.,Metaphor
It was a carefully constructed theory.,Metaphor
Let me know if you dig up anything about him.,Metaphor
I see what you mean.,Metaphor
They recognized the fact that they needed to improve.,Metaphor
We want to get a range of different views.,Metaphor
He kept us in the dark about his plans.,Metaphor
We are in a situation where there are no real winners.,Metaphor
They found themselves in a very difficult position.,Metaphor
I’ve been caught between a rock and a hard place.,Metaphor
This is a potential minefield for beginners.,Metaphor
You’ve lost me. What do you mean?,Metaphor
I really think you’re barking up the wrong tree.,Metaphor
I found out I’d been taken for a ride.,Metaphor
They met on a rainy day in January.,Metaphor
He lay awake all through the night.,Metaphor
This week’s gone so fast.,Metaphor
"One day, in the distant future, I might go and live abroad.",Metaphor
The weeks crawled by until we could meet again.,Metaphor
She didn’t notice the time slipping by,Metaphor
A laugh in a sea of sadness,Metaphor
He has a voice of a crow,Metaphor
He has a voice of a wolf,Metaphor
He has the heart of a lion,Metaphor
He is the sun of my sky,Metaphor
He swam in the sea of diamonds,Metaphor
He tried to help but his legs were rubber,Metaphor
Her hair was bone white,Metaphor
Her lips were butterflies,Metaphor
Her positive attitude is a lighthouse for the hopeful,Metaphor
His belt was a snake curling around his waist,Metaphor
His plans were rock solid and so were his aims,Metaphor
Ideas are wings,Metaphor
It's raining men,Metaphor
" Life is a mere dream, a fleeting shadow on a cloudy day",Metaphor
Light of their life,Metaphor
Love is fire,Metaphor
She is a dog when she eats,Metaphor
